Person 1,Relationship,Relationship Value
Ezra Schwartz,"AUTHORID,AUTHORURL,AUTHORALIASES,PAPER","2211432439,https://www.semanticscholar.org/author/2211432439,None,ReBound: An Open-Source 3D Bounding Box Annotation Tool for Active Learning/2023/Wesley Chen#Andrew Edgley#Raunak Hota#Joshua Liu#Ezra Schwartz#Aminah Yizar#Neehar Peri#James M. Purtilo/2109059308#2211431906#2211432214#2211469925#2211432439#2211431717#46191110#1718132"
Aminah Yizar,"AUTHORID,AUTHORURL,AUTHORALIASES,PAPER","2211431717,https://www.semanticscholar.org/author/2211431717,None,ReBound: An Open-Source 3D Bounding Box Annotation Tool for Active Learning/2023/Wesley Chen#Andrew Edgley#Raunak Hota#Joshua Liu#Ezra Schwartz#Aminah Yizar#Neehar Peri#James M. Purtilo/2109059308#2211431906#2211432214#2211469925#2211432439#2211431717#46191110#1718132"
Neehar Peri,"AUTHORID,AUTHORURL,AUTHORALIASES,PAPER,PAPER","46191110,https://www.semanticscholar.org/author/46191110,None,ReBound: An Open-Source 3D Bounding Box Annotation Tool for Active Learning/2023/Wesley Chen#Andrew Edgley#Raunak Hota#Joshua Liu#Ezra Schwartz#Aminah Yizar#Neehar Peri#James M. Purtilo/2109059308#2211431906#2211432214#2211469925#2211432439#2211431717#46191110#1718132,Assessment of a Novel Virtual Environment for Examining Human Cognitive-Motor Performance During Execution of Action Sequences/2022/A. Shaver#Neehar Peri#Remy Mezebish#G. Matthew#Alyza Berson#C. Gaskins#Gregory P. Davis#Garrett E. Katz#I. Samuel#M. Reinhard#Michelle E. Costanzo#J. Reggia#James M. Purtilo#R. Gentili/51061191#46191110#2171670472#2084386075#2171680434#87392046#36003781#38818450#4358574#40645415#2568421#1742049#1718132#2116201"
A. Shaver,"AUTHORID,AUTHORURL,AUTHORALIASES,PAPER,PAPER","51061191,https://www.semanticscholar.org/author/51061191,Alexandra A. Shaver/A. Shaver/Alexander Shaver/Alexandra Shaver/Alex Shaver,Cognitive-motor performance assessment during in-person and remote practice of action sequences/2023/A. Shaver#Calvin Lu#C. Gaskins#J. Reggia#James M. Purtilo#R. Gentili/51061191#13338661#87392046#1742049#1718132#2116201,Assessment of a Novel Virtual Environment for Examining Human Cognitive-Motor Performance During Execution of Action Sequences/2022/A. Shaver#Neehar Peri#Remy Mezebish#G. Matthew#Alyza Berson#C. Gaskins#Gregory P. Davis#Garrett E. Katz#I. Samuel#M. Reinhard#Michelle E. Costanzo#J. Reggia#James M. Purtilo#R. Gentili/51061191#46191110#2171670472#2084386075#2171680434#87392046#36003781#38818450#4358574#40645415#2568421#1742049#1718132#2116201"
Calvin Lu,"AUTHORID,AUTHORURL,AUTHORALIASES,PAPER","13338661,https://www.semanticscholar.org/author/13338661,Calvin M Lu/Calvin M. Lu,Cognitive-motor performance assessment during in-person and remote practice of action sequences/2023/A. Shaver#Calvin Lu#C. Gaskins#J. Reggia#James M. Purtilo#R. Gentili/51061191#13338661#87392046#1742049#1718132#2116201"
C. Gaskins,"AUTHORID,AUTHORURL,AUTHORALIASES,PAPER,PAPER","87392046,https://www.semanticscholar.org/author/87392046,C B Gaskins/Christopher Gaskins,Cognitive-motor performance assessment during in-person and remote practice of action sequences/2023/A. Shaver#Calvin Lu#C. Gaskins#J. Reggia#James M. Purtilo#R. Gentili/51061191#13338661#87392046#1742049#1718132#2116201,Assessment of a Novel Virtual Environment for Examining Human Cognitive-Motor Performance During Execution of Action Sequences/2022/A. Shaver#Neehar Peri#Remy Mezebish#G. Matthew#Alyza Berson#C. Gaskins#Gregory P. Davis#Garrett E. Katz#I. Samuel#M. Reinhard#Michelle E. Costanzo#J. Reggia#James M. Purtilo#R. Gentili/51061191#46191110#2171670472#2084386075#2171680434#87392046#36003781#38818450#4358574#40645415#2568421#1742049#1718132#2116201"
J. Reggia,"AUTHORID,AUTHORURL,AUTHORALIASES,PAPER,PAPER","1742049,https://www.semanticscholar.org/author/1742049,J A Reggia/J. Reggia/James A Reggia/J. A. Reggia/James A. Reggia/J.a. Reggia/James Reggia/Jim Reggia,Cognitive-motor performance assessment during in-person and remote practice of action sequences/2023/A. Shaver#Calvin Lu#C. Gaskins#J. Reggia#James M. Purtilo#R. Gentili/51061191#13338661#87392046#1742049#1718132#2116201,Assessment of a Novel Virtual Environment for Examining Human Cognitive-Motor Performance During Execution of Action Sequences/2022/A. Shaver#Neehar Peri#Remy Mezebish#G. Matthew#Alyza Berson#C. Gaskins#Gregory P. Davis#Garrett E. Katz#I. Samuel#M. Reinhard#Michelle E. Costanzo#J. Reggia#James M. Purtilo#R. Gentili/51061191#46191110#2171670472#2084386075#2171680434#87392046#36003781#38818450#4358574#40645415#2568421#1742049#1718132#2116201"
R. Gentili,"AUTHORID,AUTHORURL,AUTHORALIASES,PAPER,PAPER","2116201,https://www.semanticscholar.org/author/2116201,R. Gentili/Rodolphe Gentili/Rodolphe J Gentili/Rodolphe J. Gentili,Cognitive-motor performance assessment during in-person and remote practice of action sequences/2023/A. Shaver#Calvin Lu#C. Gaskins#J. Reggia#James M. Purtilo#R. Gentili/51061191#13338661#87392046#1742049#1718132#2116201,Assessment of a Novel Virtual Environment for Examining Human Cognitive-Motor Performance During Execution of Action Sequences/2022/A. Shaver#Neehar Peri#Remy Mezebish#G. Matthew#Alyza Berson#C. Gaskins#Gregory P. Davis#Garrett E. Katz#I. Samuel#M. Reinhard#Michelle E. Costanzo#J. Reggia#James M. Purtilo#R. Gentili/51061191#46191110#2171670472#2084386075#2171680434#87392046#36003781#38818450#4358574#40645415#2568421#1742049#1718132#2116201"
Remy Mezebish,"AUTHORID,AUTHORURL,AUTHORALIASES,PAPER","2171670472,https://www.semanticscholar.org/author/2171670472,None,Assessment of a Novel Virtual Environment for Examining Human Cognitive-Motor Performance During Execution of Action Sequences/2022/A. Shaver#Neehar Peri#Remy Mezebish#G. Matthew#Alyza Berson#C. Gaskins#Gregory P. Davis#Garrett E. Katz#I. Samuel#M. Reinhard#Michelle E. Costanzo#J. Reggia#James M. Purtilo#R. Gentili/51061191#46191110#2171670472#2084386075#2171680434#87392046#36003781#38818450#4358574#40645415#2568421#1742049#1718132#2116201"
G. Matthew,"AUTHORID,AUTHORURL,AUTHORALIASES,PAPER","2084386075,https://www.semanticscholar.org/author/2084386075,G. Bell Matthew/George Matthew,Assessment of a Novel Virtual Environment for Examining Human Cognitive-Motor Performance During Execution of Action Sequences/2022/A. Shaver#Neehar Peri#Remy Mezebish#G. Matthew#Alyza Berson#C. Gaskins#Gregory P. Davis#Garrett E. Katz#I. Samuel#M. Reinhard#Michelle E. Costanzo#J. Reggia#James M. Purtilo#R. Gentili/51061191#46191110#2171670472#2084386075#2171680434#87392046#36003781#38818450#4358574#40645415#2568421#1742049#1718132#2116201"
